City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sao filipe,0,CV,1526430400,99,14.9,-24.5,71.06,13.56
1,saint george,40,GR,1526428200,31,39.45,22.34,77.0,5.82
2,atuona,0,PF,1526430401,100,-9.8,-139.03,80.82,15.19
3,yerbogachen,0,RU,1526430401,58,61.28,108.01,44.37,3.89
4,zeya,0,RU,1526430402,47,53.74,127.27,50.45,3.71
5,jieshi,80,CN,1526430403,95,22.82,115.83,77.9,3.78
6,hobart,75,AU,1526428800,65,-42.88,147.33,46.4,8.05
7,samarai,64,PG,1526430403,100,-10.62,150.67,79.2,7.74
8,narsaq,92,GL,1526428200,89,60.91,-46.05,37.4,4.7
9,namibe,0,AO,1526430404,100,-15.19,12.15,71.91,8.81
10,arraial do cabo,0,BR,1526425200,73,-22.97,-42.02,75.2,12.75
11,san rafael,8,AR,1526430405,61,-34.61,-68.33,38.07,4.12
12,puerto ayora,20,EC,1526428800,74,-0.74,-90.35,78.8,17.22
13,ushuaia,75,AR,1526428800,75,-54.81,-68.31,42.8,26.4
14,rikitea,32,PF,1526430407,100,-23.12,-134.97,78.03,8.08
15,mataura,92,NZ,1526430407,100,-46.19,168.86,43.83,6.73
16,albany,75,US,1526429400,77,42.65,-73.75,62.6,4.12
17,faanui,88,PF,1526430408,100,-16.48,-151.75,79.34,17.43
18,isangel,0,VU,1526430409,99,-19.55,169.27,78.93,9.04
19,nikolskoye,0,RU,1526427000,62,59.7,30.79,59.0,2.48
20,east london,0,ZA,1526430409,100,-33.02,27.91,65.97,14.18
21,jalu,0,LY,1526430410,38,29.03,21.55,68.4,5.79
22,bambous virieux,20,MU,1526425200,83,-20.34,57.76,71.6,5.82
23,hermanus,0,ZA,1526430410,85,-34.42,19.24,43.7,2.26
24,busselton,12,AU,1526430411,100,-33.64,115.35,63.72,13.56
25,bilibino,36,RU,1526430411,71,68.06,166.44,43.56,3.11
26,punta arenas,0,CL,1526428800,86,-53.16,-70.91,33.8,6.93
27,padang,76,ID,1526430412,100,-0.92,100.36,81.59,4.34
28,cherskiy,0,RU,1526430412,82,68.75,161.3,37.31,3.89
29,haines junction,0,CA,1526430413,43,60.75,-137.51,43.61,2.77
30,ulaanbaatar,0,MN,1526427000,60,47.92,106.92,39.2,4.05
31,cockburn town,44,TC,1526430414,97,21.46,-71.14,79.56,23.24
32,wagar,20,US,1526430414,45,31.44,-87.99,85.68,5.28
33,barrow,92,AR,1526430414,78,-38.31,-60.23,53.15,14.07
34,hofn,0,IS,1526430415,99,64.25,-15.21,41.0,14.07
35,bredasdorp,0,ZA,1526430415,99,-34.53,20.04,55.31,6.35
36,cape town,0,ZA,1526425200,93,-33.93,18.42,50.0,1.12
37,kangaatsiaq,44,GL,1526430416,97,68.31,-53.46,26.33,9.42
38,dikson,12,RU,1526430416,86,73.51,80.55,10.76,15.08
39,kaseda,75,JP,1526426940,88,31.42,130.32,71.6,3.36
40,kruisfontein,0,ZA,1526430417,91,-34.0,24.73,58.68,11.54
41,karratha,0,AU,1526430417,20,-20.74,116.85,66.2,20.33
42,bethel,75,US,1526428380,70,60.79,-161.76,42.8,8.05
43,vaini,0,IN,1526430419,94,15.34,74.49,68.4,1.36
44,guerrero negro,0,MX,1526430419,57,27.97,-114.04,70.65,14.97
45,victor harbor,0,AU,1526428800,50,-35.55,138.62,57.2,9.17
46,hoi an,20,VN,1526428800,83,15.88,108.33,80.6,3.36
47,koslan,0,RU,1526430420,70,63.46,48.9,34.61,4.72
48,blackwater,0,GB,1526428200,62,51.33,-0.78,59.0,9.17
49,vao,12,EE,1526430421,59,59.1,26.19,58.46,7.74
50,alyangula,0,AU,1526430422,89,-13.85,136.42,80.37,19.82
51,san patricio,92,PY,1526430422,99,-26.98,-56.83,66.78,2.48
52,bluff,0,AU,1526430423,46,-23.58,149.07,69.57,6.35
53,ponta do sol,68,BR,1526430423,68,-20.63,-46.0,68.36,5.5
54,ifakara,48,TZ,1526430423,96,-8.13,36.68,66.6,2.1
55,pitimbu,20,BR,1526428800,88,-7.47,-34.81,75.2,3.36
56,gari,0,RU,1526430424,89,59.43,62.35,26.78,2.82
57,castro,24,CL,1526430424,100,-42.48,-73.76,44.15,3.38
58,ilulissat,48,GL,1526428200,90,69.22,-51.1,32.0,5.82
59,fairbanks,90,US,1526428680,87,64.84,-147.72,44.6,14.99
60,beloha,0,MG,1526430426,86,-25.17,45.06,61.38,7.02
61,georgetown,40,GY,1526428800,88,6.8,-58.16,77.0,9.17
62,nanortalik,88,GL,1526430427,96,60.14,-45.24,32.31,17.58
63,hambantota,68,LK,1526430427,100,6.12,81.12,80.69,10.42
64,port alfred,0,ZA,1526430427,98,-33.59,26.89,62.6,12.17
65,mount gambier,92,AU,1526430209,80,-37.83,140.78,52.16,3.33
66,yumen,0,CN,1526430428,37,40.29,97.04,54.45,5.84
67,robertsport,92,LR,1526430428,100,6.75,-11.37,80.55,0.54
68,kaitangata,0,NZ,1526430429,90,-46.28,169.85,49.01,5.39
69,la ronge,40,CA,1526425200,39,55.1,-105.3,66.2,5.82
70,beidao,0,CN,1526430430,79,34.57,105.89,64.4,2.59
71,ketchikan,1,US,1526428560,54,55.34,-131.65,62.6,16.11
72,bertoua,64,CM,1526430430,91,4.58,13.68,69.08,2.71
73,panaba,44,MX,1526430431,69,21.28,-88.27,80.82,5.73
74,jamestown,0,AU,1526430371,75,-33.21,138.6,47.7,4.79
75,broome,8,GB,1526428560,93,52.47,1.45,50.0,3.36
76,matara,0,PE,1526430432,57,-13.74,-72.9,42.53,1.99
77,yellowknife,90,CA,1526425200,35,62.45,-114.38,39.2,10.29
78,adjumani,76,UG,1526430433,96,3.38,31.79,66.65,2.59
79,coihaique,75,CL,1526428800,93,-45.58,-72.07,39.2,4.7
80,shangrao,20,CN,1526430434,70,28.45,117.97,81.72,2.71
81,butaritari,12,KI,1526430434,100,3.07,172.79,83.03,10.87
82,qaanaaq,12,GL,1526430434,85,77.48,-69.36,25.34,3.22
83,aksu,40,KZ,1526427000,64,52.04,76.93,39.2,11.18
84,ngunguru,24,NZ,1526430436,95,-35.62,174.5,66.87,22.73
85,saskylakh,32,RU,1526430437,92,71.97,114.09,17.82,6.62
86,kapaa,40,US,1526428560,61,22.08,-159.32,78.8,12.75
87,leningradskiy,36,RU,1526430438,93,69.38,178.42,33.57,12.55
88,reshetnikovo,8,RU,1526430438,90,56.45,36.57,53.37,6.02
89,egvekinot,0,RU,1526430438,91,66.32,-179.17,36.27,3.22
90,camacha,75,PT,1526428800,82,33.08,-16.33,60.8,18.34
91,black river,20,JM,1526428800,69,18.03,-77.85,82.4,3.36
92,hithadhoo,76,MV,1526430440,100,-0.6,73.08,83.48,11.16
93,paamiut,92,GL,1526430440,94,61.99,-49.67,34.92,33.53
94,chuy,32,UY,1526430440,77,-33.69,-53.46,58.86,12.33
95,durban,90,FR,1526428800,87,43.54,0.58,55.4,4.7
96,anloga,40,GH,1526428800,83,5.79,0.9,82.4,10.29
97,tasiilaq,0,GL,1526428200,54,65.61,-37.64,30.2,9.17
98,boa vista,75,BR,1526428800,94,2.82,-60.67,77.0,1.12
99,yantal,32,RU,1526430443,76,56.85,105.25,46.17,3.38
100,mwinilunga,0,ZM,1526430443,72,-11.73,24.43,62.55,3.38
101,new norfolk,75,AU,1526428800,65,-42.78,147.06,46.4,8.05
102,galle,1,US,1526428560,48,29.74,-97.91,89.6,6.93
103,luanda,20,AO,1526430445,94,-8.83,13.24,76.19,5.91
104,thompson,90,CA,1526426040,59,55.74,-97.86,35.6,8.05
105,hilo,40,US,1526428560,65,19.71,-155.08,80.6,10.29
106,victoria,75,BN,1526428800,94,5.28,115.24,80.6,1.12
107,dunedin,0,NZ,1526430329,85,-45.87,170.5,48.2,3.83
108,nanakuli,75,US,1526429280,69,21.39,-158.15,84.2,12.75
109,katsuura,75,JP,1526425200,77,33.93,134.5,68.0,4.7
110,alice springs,0,AU,1526428800,50,-23.7,133.88,55.4,12.75
111,artigas,92,BR,1526430448,99,-30.4,-56.46,62.55,10.65
112,tongliao,8,CN,1526430448,55,43.61,122.27,82.94,12.62
113,bambanglipuro,88,ID,1526430449,94,-7.95,110.28,75.15,3.22
114,uniao dos palmares,75,BR,1526428800,88,-9.16,-36.03,75.2,5.82
115,avarua,75,CK,1526428800,88,-21.21,-159.78,77.0,14.99
116,labuan,75,BN,1526428800,94,5.28,115.24,80.6,1.12
117,menongue,100,AO,1526430450,59,-14.66,17.68,69.3,2.21
118,sulangan,68,PH,1526430450,100,11.14,123.72,84.15,11.43
119,port elizabeth,90,US,1526429340,54,39.31,-74.98,84.2,11.41
120,tautira,40,PF,1526428800,70,-17.73,-149.15,84.2,5.82
121,chokurdakh,0,RU,1526430451,99,70.62,147.9,20.61,4.56
122,henties bay,0,NA,1526430452,100,-22.12,14.28,56.03,3.04
123,northallerton,92,GB,1526428200,82,54.34,-1.43,57.2,9.17
124,dong hoi,12,VN,1526430452,91,17.48,106.6,81.36,4.79
125,amahai,76,ID,1526430453,100,-3.31,129.0,80.01,4.34
126,port lincoln,20,AU,1526430453,93,-34.72,135.86,58.55,8.3
127,sorong,32,ID,1526430454,100,-0.86,131.25,80.69,2.71
128,aswan,0,EG,1526425200,44,24.09,32.9,80.6,6.93
129,madhipura,24,IN,1526430454,97,25.92,86.78,70.25,6.58
130,nakhon thai,0,TH,1526425200,88,17.1,100.84,77.0,2.24
131,praia da vitoria,0,PT,1526428800,93,38.73,-27.07,57.2,6.91
132,serebryanyy bor,0,RU,1526430455,62,56.8,124.8,41.85,3.6
133,baiyin,56,CN,1526425200,31,36.55,104.13,60.8,8.95
134,te anau,80,NZ,1526430456,100,-45.41,167.72,38.03,2.48
135,general roca,0,AR,1526428800,70,-39.03,-67.58,44.6,6.29
136,san policarpo,8,PH,1526430457,89,12.18,125.51,84.96,9.93
